"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"4-(2-furyl)-6-(methylthio)-2-pyrazin-2-ylpyrimidine-5-carbonitrile","-0.29543526","-0.21380576","-0.23785359","-0.15760490"," 0.12390052","-0.17102490","-0.18767551"," 0.22973757","-0.22769294","-0.18128301","-0.12118479","-0.14784208","-0.07962346","-0.23251321","-0.26873928","-0.24128526","-0.19740258","-0.19911106","-0.28279095","-0.20652538","-0.33859696","-0.03749341","-0.15917028","-0.11649602"," 6.56198670","-0.33954598","-0.22096622","-0.30586234","-0.17829812","-0.03150294","-0.27816831","-0.16596108"," 0.03928006","-0.22419042","-0.14322770"," 3.62790462","-0.28757790","-0.28926377","-0.06070091","-0.16810566","-0.20889118","-0.26686667","-0.22474629","-0.21967440"," 0.23747729","-0.20094232","-0.17369613","-0.22148998","-0.25940400","-0.36983680","-0.06592791","-0.17938616","-0.04683486","-0.16306164","-0.05069297"," 0.11577378","-0.36881051","-0.26773872","-0.35015565","-0.30338242"
"HET0016"," 0.08958022","-0.21789435","-0.41808068","-0.42740795","-0.27838265","-0.29834753","-0.35462888"," 1.29687588"," 0.14916130"," 1.27217745"," 0.05331501","-0.33225463","-0.43271444","-0.32521526","-0.46394712","-0.39494685","-0.47040430","-0.29485234","-0.27781601","-0.23038578","-0.50683697","-0.30816438","-0.30340419","-0.37003810","-0.48134574","-0.53251309","-0.17400933","-0.30653749"," 5.81009027","-0.27029672"," 0.89761833","-0.40272742","-0.31232206","-0.01553851","-0.39754550"," 0.39473084","-0.38963902","-0.36084961","-0.10835834","-0.38936102","-0.22826605","-0.37800774","-0.38823090","-0.32975727"," 3.46616817","-0.33471738","-0.38982641","-0.30240146","-0.19880226","-0.39569292","-0.37532552","-0.44370904"," 0.47390516"," 1.63262436","-0.09357066","-0.07815102","-0.54186077","-0.40710200","-0.16588760"," 0.36182829"
"N-(1-benzylpiperidin-4-yl)-5-methoxy-1H-indole-2-carboxamide","-0.49281308","-0.39842581","-0.97362445"," 0.49613006","-0.14869578","-0.19596619"," 1.88969430","-0.30573469"," 0.90875688"," 0.13010534","-0.59607810"," 0.58678459"," 2.66831708"," 4.93211036","-0.93546030","-0.64039677","-0.96761128"," 0.35620927","-1.05206398"," 0.64026218","-1.04107442","-0.60546857"," 1.50034546"," 0.32491253","-0.27618228"," 0.99027445"," 0.47205480"," 0.39598354"," 0.41072531","-0.64710238"," 0.08598387","-0.36266118"," 0.00522786","-0.40884050"," 0.87052112","-0.27710135","-0.21560720"," 0.68509817","-0.24270996"," 0.90203830"," 0.42545946","-0.77382641"," 0.19956733"," 0.28071601","-0.70170163"," 0.47996455"," 0.17177713","-0.48041696","-0.77003928","-0.86974515","-0.61735456","-0.63426891","-0.55963011"," 0.06748173","-0.79411780","-0.52393946","-1.02340191","-0.31246525","-0.91747904","-1.11449690"
"Physostigmine","-1.20389457","-1.05310656"," 0.07255523","-0.31519604","-0.41088788"," 1.83480388","-0.61541199"," 0.52268994","-0.86450403"," 0.27673623","-0.16793447","-0.50688526"," 0.91603684"," 0.46776469","-1.27152152"," 0.74532551","-0.80072548","-0.92201561","-0.43717511"," 2.41105825","-0.93133890"," 0.14605976"," 0.57581814"," 1.30600521","-1.22071777","-0.81591406"," 0.94273907","-0.14180952","-0.19860505","-0.29070781"," 0.53396456"," 1.02709220"," 1.12834397"," 3.66556977"," 1.00631434"," 0.45404400","-0.82880118","-0.84647117","-0.56794360"," 0.66748130"," 0.66960502","-1.19045615","-0.21230045"," 0.77540019","-0.64771737"," 1.68760412","-0.13584359"," 1.26079471","-0.18090166","-0.64634111"," 0.48516197","-1.08044935","-0.26120518","-0.67748156","-1.22269755","-0.10731608","-1.43277214","-0.02801535","-0.15757007","-1.18633370"
"Linustatin","-0.638314082","-0.217376894","-1.012058877"," 0.236395434"," 0.426440832"," 1.277100438","-0.925570432"," 0.523398843"," 2.708041813"," 1.200694581","-0.430826076","-0.592830350","-0.856016776","-0.210292361","-1.095762615"," 0.230638920","-0.533613161","-0.279377056","-0.893486330","-0.677525309","-1.231560260","-0.635222622"," 2.101231408"," 2.572060418"," 0.042677955","-1.089880221","-0.435421144","-0.428674073"," 0.343718111"," 0.558977514"," 1.112247784","-0.456868474","-0.162728547","-0.313595014","-0.561595813"," 2.700505539"," 0.959419684"," 0.077581751"," 0.005660474","-0.544270842"," 0.469747226"," 1.936300712","-0.419154889"," 0.284630254"," 1.252793680","-0.413714227","-0.051779681","-0.226521950","-0.087268960","-0.831143685","-0.398994267"," 0.012456165","-0.742388617"," 0.215343638","-0.987245913"," 1.631771647","-1.241269158","-0.971526452","-1.166183047","-1.119776646"
"Glycitin","-0.22948934","-0.17956324","-0.20909462","-0.18062210","-0.14135911","-0.23480890","-0.18054532"," 0.14571988","-0.19896229","-0.20180611","-0.20039414","-0.12837445","-0.16062230","-0.13594072","-0.20539902","-0.22666574","-0.16965394","-0.21621943","-0.13796344","-0.17045527","-0.08191897"," 0.96473211","-0.11051760","-0.09374243","-0.11859359","-0.21955980","-0.12437683","-0.15238994","-0.15099971"," 7.50027290","-0.21423037","-0.18642990","-0.14129335","-0.09355661","-0.14941578","-0.18738525","-0.15526689","-0.17104803","-0.09775810","-0.14083349","-0.13661623","-0.20821189","-0.08209629","-0.15707099","-0.18525218","-0.04995735","-0.22817079","-0.20942297","-0.19439041","-0.14931509","-0.19021106","-0.15374812","-0.16632799","-0.15657967","-0.19151190","-0.16627403","-0.23416262"," 0.32612666","-0.21551232"," 0.23523645"
"Cyanidin","-1.21131878","-0.02540075","-1.07175867"," 0.19223483","-0.23377810","-0.16975123","-0.51081286"," 0.40961954","-0.64591223"," 0.64583738","-0.32186868","-0.06849218","-0.56003814","-0.25575494"," 2.01709840","-0.91655929","-0.21238205"," 1.46602631","-0.02522158","-0.19842343"," 4.77829902","-0.20442467"," 0.06441842","-0.58341289","-0.61299164","-1.00080567","-0.24161051","-0.33198555","-0.08655991"," 1.08698188","-0.48856164"," 0.06663924"," 2.22396300"," 0.15268269","-0.48134870","-0.62202324","-0.62231410"," 2.44376593"," 0.75227069"," 1.03871499"," 0.11463004","-1.38294608","-0.29814386","-0.38085019","-0.37450421"," 0.52474740"," 0.11360218","-1.09743802","-0.78683718"," 0.74167412","-0.14938789","-0.27175235","-0.95214884","-0.50335818","-0.60933108"," 0.24064646"," 0.09227003"," 0.07885782","-0.93711704"," 0.20234595"
"4-butyl-4-(hydroxymethyl)-1,2-diphenylpyrazolidine-3,5-dione","-0.376775874","-0.234281085","-0.290764166","-0.195721591","-0.171374417","-0.231428809","-0.295560851","-0.189052271"," 0.411983166","-0.253426797","-0.231244607","-0.267076135","-0.358848163","-0.276368026","-0.300956644","-0.320322694"," 6.954361447"," 1.380134589","-0.462399829","-0.313999027","-0.233137148"," 0.226963442","-0.212955677","-0.130428631"," 1.063001714","-0.428637700","-0.226727603","-0.239132000"," 1.769582492","-0.141830180"," 0.163071241","-0.282627924","-0.147476072","-0.232709964","-0.339912369","-0.164234304","-0.319307319","-0.210222544","-0.065466200","-0.242517246","-0.312331888","-0.259763118","-0.189875416","-0.266695021","-0.152094127","-0.070427171","-0.283278898","-0.337451674","-0.335387921","-0.005241987","-0.018041932"," 0.759772404","-0.267704248","-0.156522851","-0.185431240","-0.181512664","-0.410367724","-0.113462186","-0.482702592","-0.313653968"
"5-benzyl-4-hydroxy-6H-pyrido[3,2,1-jk]carbazol-6-one","-3.174789e-01","-1.334828e-01","-2.607666e-01","-2.154554e-01"," 8.078390e-02","-1.778900e-01","-1.353936e-01"," 7.291643e-03","-1.962415e-01","-2.375160e-01","-7.435542e-02","-1.795967e-01","-1.763405e-01","-1.379228e-01","-2.762119e-01","-2.171065e-01","-1.374620e-01"," 4.398727e-01","-1.977503e-01","-1.182197e-01","-2.206909e-01"," 5.789327e-01","-1.853553e-01","-1.574621e-01","-2.831396e-01","-2.918036e-01","-1.584646e-01","-2.402627e-01","-1.588673e-01","-4.182836e-07","-1.905945e-01","-1.012944e-01"," 1.686664e-01","-2.398598e-01","-8.305187e-02","-2.093911e-01","-2.488800e-01","-2.263280e-01","-6.178733e-02","-2.102929e-01","-1.377692e-01","-2.090577e-01","-1.377658e-01","-2.312826e-01","-1.977838e-01","-1.709327e-01","-2.202124e-01","-1.778422e-01","-2.613812e-01","-3.235427e-01","-1.305110e-01","-2.392042e-01","-1.385687e-01"," 5.162326e-01"," 7.475737e+00","-7.194085e-02","-3.294460e-01","-2.511735e-01"," 4.439209e-01","-2.630648e-02"
"3-(5,7-dimethoxy-4-oxo-4H-chromen-2-yl)propanoic acid","-1.000422055"," 1.610029610","-0.915305094","-0.292698168","-0.029887604"," 0.303058296","-0.441970157","-0.182086129","-0.409243239"," 0.024907685","-0.515836152"," 1.589941275","-0.768389818"," 3.281159981","-0.175119904"," 0.143230802","-0.369883536"," 2.431406705","-0.967151171","-0.582646455"," 1.090757025"," 2.055505288","-0.565174325","-0.508561108","-0.914766714","-0.782056774"," 0.676278195","-0.335614924"," 0.050691283","-0.251432270"," 1.964684409"," 0.761665222","-0.724488475","-0.776824112"," 2.196836039","-0.851014654"," 0.098010009","-0.938562192"," 0.263511435"," 0.647112225"," 0.003053125","-0.866497626","-0.800225306"," 1.121816316","-0.894599181"," 0.758755308"," 0.360658192","-0.832698913","-0.905949147","-0.985629851","-0.460249965"," 0.113608586","-0.912254334","-0.768861410","-0.812491346"," 0.678456523","-0.973142606","-0.816849248"," 0.913416812"," 0.190033618"
"6-methyl-4-(morpholinomethyl)-2H-chromen-2-one","-0.48284291","-0.34172628","-0.41805093","-0.31230802","-0.29373279","-0.33955019","-0.35708238","-0.30721979"," 0.29514359","-0.35633315","-0.37038524","-0.36674666","-0.43676244"," 5.07754436","-0.39259517","-0.39338283","-0.31736591"," 0.88996244","-0.51576527","-0.36090475","-0.33484262"," 0.04950565","-0.06948388","-0.17087632"," 0.64801175","-0.49000708","-0.33596349"," 2.32495682"," 1.13936975"," 4.29295099"," 0.19518825","-0.37861161","-0.29345734","-0.34052762"," 0.93990068","-0.22679055"," 0.06220719","-0.32102279","-0.20106531","-0.34800990"," 0.20498200","-0.49079818","-0.37260792","-0.30960711","-0.19518913","-0.26222602","-0.39059543","-0.33770728","-0.27853124","-0.39985003","-0.37226932","-0.27635366","-0.35024405","-0.21191993","-0.29646461","-0.24850136","-0.45156981","-0.24954972","-0.52977012","-0.22255532"
"Evernic acid"," 1.62461301","-0.21648325","-0.69610520","-0.68327282"," 0.48417390","-0.25003150","-0.59291412"," 1.56734492","-0.03968270","-0.23570229","-0.04822248"," 0.42230598","-0.19274308","-0.05932712","-0.70898206"," 0.56978266","-0.70993216"," 0.43502250","-0.13313811","-0.03064782"," 6.32394620","-0.29993299","-0.15204007","-0.52525739","-0.58542540","-0.71541261","-0.61141498","-0.48815833"," 0.45507027","-0.31005205","-0.49032633","-0.10774468","-0.41045862"," 0.06937337"," 0.22202924","-0.11842332","-0.46437779","-0.42524129"," 0.11001833","-0.32715204"," 0.57248407","-0.24738391","-0.61571664","-0.02623838"," 0.20563992"," 0.64795851","-0.24480357","-0.58838504","-0.14862369","-0.93356069","-0.57833720","-0.72637051","-0.59316011"," 0.27250659"," 0.29309392"," 0.64171691","-0.67822378","-0.35170262","-0.09694628"," 1.54097473"
"O-7460","-0.53242707","-0.14613595","-0.60695637","-0.12967443","-0.47540470","-0.35409431","-0.55693286"," 0.27475105","-0.07416657"," 0.04567860","-0.40333699","-0.18199040"," 0.42328645","-0.02332032","-0.19628250","-0.16576538","-0.05363819","-0.15186528","-0.28716636"," 0.47905612","-0.01091813","-0.49038470","-0.21939459","-0.37040427","-0.28834306","-0.25678123","-0.33409272"," 0.16658134","-0.35364624"," 5.00800193"," 0.15062782","-0.33123310","-0.52708523"," 0.64131681","-0.42150004"," 0.12671372","-0.06225180"," 5.21044288","-0.14001851"," 0.30012356","-0.25080747","-0.44661714","-0.43512201"," 0.15207345","-0.13087938","-0.09425329","-0.11907198","-0.28061778","-0.18664549"," 0.19579101","-0.35172710","-0.20954993","-0.71348404"," 0.11280846","-0.64633745","-0.09272746","-0.64844641"," 0.10875849","-0.03401827","-0.61049519"
"2-acetamido-3-(4-methoxyphenyl)propanoic acid","-0.3667948966"," 0.1062030637","-0.3462688424","-0.3928474354","-0.1781003126","-0.3777411823","-0.2687970361","-0.1758195278","-0.3226819278"," 0.3733890872","-0.2152462164","-0.2829668690","-0.3394466256","-0.3363653672","-0.3680487350","-0.3439646664","-0.3778917286"," 0.0612176751","-0.3709523182","-0.3388717761","-0.4427364114"," 0.3597876964","-0.1967932376","-0.2717395475","-0.3689028947","-0.3220700596","-0.2069657824","-0.4316945863","-0.3256336925","-0.0237285925"," 5.8986644495"," 0.1540222789"," 0.2111174233","-0.3223380613"," 0.0003850449","-0.3535567874"," 0.0127891914","-0.4916677444"," 4.1776201899","-0.2789229406","-0.2252295064","-0.3099289172","-0.3399624136"," 0.2977613529","-0.2391984475"," 1.1091551840"," 0.1003213821"," 0.6800939309"," 0.1947224479","-0.3617631588","-0.0986706523","-0.1809002829","-0.3046208851","-0.1872468191","-0.3093673532","-0.2802789939","-0.4528679460","-0.2764180156","-0.3464491668","-0.3847920376"
"Prunin","-0.43457699","-0.26094108","-0.36950332","-0.16311241","-0.06715593","-0.38191451","-0.17329645","-0.23909339","-0.16791486","-0.23728089","-0.24940227"," 2.49079471","-0.02170079","-0.05095627"," 0.02793743","-0.45991710","-0.37850122"," 1.46777162","-0.34149569","-0.26766183","-0.14108712","-0.22623011"," 0.04163233","-0.04646316","-0.45429513","-0.36380306","-0.09764362","-0.16047361","-0.15135696","-0.08059285","-0.35354637","-0.20982161"," 0.11361708","-0.15095712","-0.08379049","-0.19341181","-0.01839890","-0.38517550","-0.09242916","-0.17144843"," 0.03269074"," 6.62915418","-0.27805438","-0.17544503","-0.23483464"," 0.29870252","-0.38966229","-0.33542754","-0.36770590","-0.42379189","-0.30745564"," 1.60649891","-0.35685070","-0.21842793","-0.43246749","-0.24199234","-0.49062867","-0.19452607","-0.43726726","-0.17891173"
"Tryptophanol","-0.82749389","-0.48187883","-0.82508710","-0.52873385"," 2.61172428","-0.71329025","-0.26836242","-0.10939927","-0.83982573"," 1.90132016","-0.47390450"," 1.01456328","-0.36299235","-0.52615825","-0.83694369","-0.76293578","-0.24112140"," 0.36334240","-0.57963712","-0.57224655","-0.89237067","-0.15737292"," 1.18210721","-0.52355109","-0.88539586"," 2.78634846","-0.39626388","-0.37422547","-0.13242976"," 0.45815267"," 0.80270010","-0.22203008"," 0.25241677"," 0.43451543"," 1.23719101","-0.65638125"," 3.04321048","-0.74355378"," 1.52555935"," 0.03032670","-0.40151809","-0.84777934"," 0.31801942","-0.42153623","-0.22548407","-0.23602091"," 0.16460381","-0.41734890","-0.52506640","-0.18734047"," 2.90197218","-0.60793682"," 0.09712075","-0.56406844","-0.80326861","-0.29239125","-0.97593109"," 0.99194103","-0.88617709","-0.79168202"
"Roseoflavin","-0.70048713"," 0.01686897","-0.78467999"," 0.71227160","-0.05724518"," 0.92026626"," 3.91795799"," 1.68555676"," 0.03491083"," 1.80435175"," 0.33970612","-0.09601630","-0.67761155","-0.54913192","-0.81537164","-0.53081866","-0.56738090","-0.55028468","-0.44409965","-0.37987147","-0.71600874"," 0.04401765"," 0.25125869","-0.63852181","-0.72753713","-0.57119513"," 3.74344603","-0.37417399"," 0.10093650"," 2.75993967","-0.29003733","-0.50833249"," 0.25763765"," 0.67501591","-0.44110075"," 0.10633744","-0.57793632","-0.66861655","-0.33855351"," 0.01980144","-0.03120980","-0.51569472","-0.30328490","-0.20571552","-0.23179567"," 1.52909689","-0.05927130","-0.61125834","-0.44065281","-0.97876340","-0.52976543","-0.50600091","-0.75532455","-0.18989195","-0.17699037"," 0.04148320","-0.75644801","-0.58106873","-0.42141911"," 0.33870696"
"N-P-Coumaroyl Spermidine","-0.21086757","-0.25069262","-0.28744551","-0.26862526","-0.20109809","-0.28977604","-0.27464536","-0.22098934","-0.24073319"," 0.84003720","-0.26617350"," 0.15507282","-0.27998286","-0.27302402","-0.28219132","-0.27496627","-0.27521811","-0.03606710","-0.17202689","-0.28504960","-0.29625867","-0.25622299"," 0.52792648","-0.15349556","-0.28354312","-0.30372941","-0.12158781","-0.28046923","-0.22137329","-0.24136740"," 0.24536999","-0.18068924"," 0.14482725","-0.27446401","-0.27394774"," 0.01338416","-0.25619937","-0.28309039","-0.27580054","-0.25210496","-0.24499263","-0.19309961"," 0.11828813","-0.26786979"," 0.34186342","-0.24468296"," 0.05952535","-0.28116750","-0.23505533","-0.19881401","-0.24659482"," 2.63062548"," 6.91281036","-0.28799497","-0.18878142","-0.15604051","-0.31144128","-0.28290481","-0.21759538","-0.28877923"
"2-[2-(2-pyridyloxy)ethoxy]pyridine","-0.31706567","-0.32966838","-0.25217593"," 0.86445375","-0.10837852","-0.34512976","-0.13136455","-0.21416072","-0.28438720","-0.13902752","-0.05108282","-0.22369114","-0.23056907","-0.30717798","-0.40622692","-0.15754706","-0.19475973","-0.35154893","-0.16044781","-0.28882904","-0.41506001","-0.21362617","-0.02992550","-0.08587455","-0.26415827"," 7.23079807","-0.09463223","-0.27977101","-0.07074527"," 0.49103484","-0.22133260"," 0.17324937","-0.21612603","-0.10438615"," 0.02415134","-0.15177355"," 0.04903535","-0.32518393"," 0.05511437","-0.08766438"," 0.39636553","-0.22925923","-0.09489578","-0.09324732","-0.26097679"," 1.58380957","-0.07707971","-0.22750269","-0.27980324","-0.38890234"," 0.10337006","-0.25763204","-0.21504511","-0.27513406","-0.25566494","-0.16967900","-0.46233617"," 0.04599137","-0.37724816","-0.29946861"
"2-[(3S)-1-Benzyl-3-pyrrolidinyl]-1,3-benzothiazole","-0.61069701","-0.39688775","-0.53101793"," 0.08011510","-0.13705950","-0.36104966","-0.47535206"," 0.32074426","-0.52119018"," 0.16418946","-0.35822147"," 0.36248948","-0.49821664","-0.46838054","-0.55707202","-0.51329102","-0.48631391"," 1.94733187","-0.55760734","-0.53624154","-0.62444530"," 0.28773660"," 0.08834128","-0.40570953","-0.55085611"," 0.45056523","-0.29753548","-0.31125985"," 0.71214314"," 0.21509131","-0.32814462"," 0.23717559"," 0.71839893","-0.03498966"," 0.69838630","-0.42646576"," 0.51124295","-0.57599627"," 0.46631893"," 0.13165174"," 0.49764837","-0.52618906","-0.10741682","-0.15452957","-0.52041996"," 6.46043917"," 0.09506270"," 1.08743807","-0.32017920","-0.60915682"," 0.37485295"," 0.91822598","-0.45371687","-0.16017729","-0.56261227","-0.52023377","-0.66861817","-0.48622029","-0.56140232","-0.61071588"
"DL-5-Methoxytryptophan","-0.41801565","-0.56369927"," 0.20564848","-0.64316463"," 1.44478045","-0.92222152","-1.01679718"," 4.51525466","-0.72340320"," 0.43189080","-0.15286280","-0.07715571"," 0.87855647","-0.05608763","-0.69405549","-0.90906471","-1.40684000","-0.81923821"," 1.23084908"," 0.27833798","-1.16937107"," 2.05134943","-0.74497831","-1.70234696"," 0.30816127","-1.49142879"," 0.93129913"," 0.63110482","-0.44816324"," 1.05861930"," 0.10842063"," 0.14371596"," 1.12201751"," 0.29120747","-0.21933362","-0.33196603","-0.57216630","-0.69565110","-0.14553419"," 0.72495403"," 0.82978327"," 0.08258629","-1.17841130","-0.36654345"," 1.84463754"," 0.57048922","-0.08160329","-0.43178606","-0.06404528","-0.72169608"," 0.07348523","-0.35165733"," 0.25401357","-0.58263188"," 0.53987582","-0.38631088","-1.21714236"," 0.44084836"," 0.62394988","-0.31046315"
"Diacetoxyscirpenol","-0.463766140"," 0.548988965","-1.573505835"," 0.170705292"," 0.081924935"," 1.389186027"," 0.610144691"," 1.725129006","-0.453917020","-0.034856100"," 0.914014819","-1.381998729"," 0.957474741"," 0.112561082","-1.421487882"," 0.111294916"," 1.820122186"," 0.233015160","-1.082007251"," 0.628404825","-1.510764896","-0.745655988"," 0.059218061"," 1.619706281","-1.044543756","-1.215895679","-0.381637510","-0.615425180"," 0.759803139"," 0.752237550","-0.141174891","-0.117506362"," 1.173876302"," 0.104810013"," 0.659611333","-0.922055438"," 0.023224355","-0.469479649"," 1.325095003","-0.005902441"," 2.575731709","-0.935692245","-0.282759238"," 1.237601413"," 0.251522684"," 0.125819770","-1.356737068"," 0.341609676","-0.479786643","-1.473919924"," 0.667535291"," 0.413696671","-0.221819250"," 1.078723070","-1.103602717"," 1.566670414","-0.946637162","-0.400144371","-1.763100859","-1.493679155"
"2-(4-methoxyphenyl)-3-(1H-pyrazol-4-yl)acrylonitrile","-0.30022638","-0.23135394","-0.27864304","-0.23743156","-0.25540512","-0.12593910","-0.25197956","-0.13820360","-0.26933541","-0.18149417","-0.24635989","-0.25950071","-0.14134691","-0.26188579","-0.20497712","-0.26478267","-0.17503579","-0.02241643","-0.30906024","-0.18072680","-0.29001367","-0.21428335","-0.21948641","-0.23413251","-0.26024680","-0.29506946"," 5.84590835","-0.19455782","-0.23467691","-0.19053004","-0.25319767","-0.23020477","-0.17332257","-0.12021110","-0.27810840","-0.25397485","-0.22036490","-0.23167078","-0.17268982","-0.17043743"," 3.89630080","-0.31616162","-0.21440876","-0.19063530","-0.24592090","-0.16060063","-0.22714950","-0.26903627","-0.24808803","-0.30963851","-0.23703945"," 2.52947817","-0.26992577","-0.18013036","-0.28731494","-0.22146831","-0.29316479","-0.18650529","-0.27634183"," 0.43512645"
"3-ethyl-4-hydroxy-1-methyl-1,2-dihydroquinolin-2-one","-0.269468884","-0.269604756","-0.293379962","-0.210074059","-0.176918321","-0.262784719","-0.268321932","-0.161878279","-0.262283905","-0.167765279","-0.247673282","-0.185373250","-0.146236941","-0.202696848","-0.098999064","-0.297037937","-0.255713809"," 0.630371773","-0.250433549","-0.253765124","-0.240783364","-0.236608262","-0.212463580","-0.172233872","-0.238212364","-0.304110862","-0.159926466","-0.235660531","-0.181318224"," 2.400763003","-0.263988650"," 0.306187689"," 6.968466568","-0.178836788"," 0.564096419","-0.179558799"," 0.129234661","-0.303517741","-0.209467677","-0.233337479"," 0.009067912","-0.312992785","-0.236306355"," 0.045847719","-0.237866016"," 0.935432559","-0.185241037","-0.279689158","-0.271472531","-0.307713054","-0.251898840","-0.088886499","-0.269278373","-0.254395605","-0.194138169","-0.265854834","-0.360258871","-0.248356227","-0.319254404","-0.275430984"
"KLK","-0.099857167","-0.376657525"," 0.209474147","-0.173361340"," 1.914188876"," 0.114106597","-0.374946584","-0.249482106","-0.065173865","-0.375902302","-0.358451741","-0.392860902","-0.612370211","-0.515223308","-0.178461577"," 0.381803201","-0.099417746","-0.071620028"," 6.827999869","-0.250922132","-0.254100625","-0.319650391","-0.571537911","-0.514298063","-0.411821885","-0.440964102","-0.537630282"," 0.671889402"," 0.451195644"," 0.230682869","-0.374338214","-0.392808466"," 0.007332172","-0.349348979","-0.210445753","-0.336997599","-0.415172990","-0.334250438","-0.258958900","-0.343764111"," 0.224864360","-0.460573559","-0.113532031","-0.577061207"," 1.415015324","-0.152230119"," 0.040636551"," 0.028157305","-0.192790476"," 0.042868108","-0.229322626","-0.309148530","-0.176326220"," 0.519372786"," 0.078236241"," 0.027268072"," 0.104143718","-0.351803424","-0.686121472"," 0.220471662"
"4-[2-(2-methylphenyl)-2-oxoethyl]benzamide","-0.62678139","-0.53252210","-0.49251220"," 0.05829174","-0.18758278","-0.69569949","-0.16647268"," 6.06855740","-0.45232441"," 1.16579809"," 1.66146652"," 0.87884459","-0.21883709","-0.21092501","-0.57031004"," 0.53001293","-0.56348273","-0.43232403","-0.41196391","-0.52739590","-0.55226240","-0.05965926","-0.14149513","-0.01219800","-0.59989112","-0.59237639","-0.29398596"," 0.66495287"," 0.12603523"," 0.10985984","-0.36082841","-0.46428342"," 2.67072552"," 0.07243292","-0.53747092","-0.02136116"," 0.51755733","-0.73776167","-0.05159166","-0.25005984"," 0.25686298","-0.60628503","-0.10662997","-0.41694271","-0.44318036"," 0.17088140","-0.14396973","-0.42394035","-0.32355181","-0.41343629","-0.42979722","-0.54631895"," 0.84668311","-0.08944916","-0.51738825"," 0.31805209","-0.81683740"," 0.20845952"," 0.03333419","-0.31672187"
"7-(2-aminophenyl)heptanoic acid","-1.108022423","-0.454037566","-0.813552067"," 1.497297946","-0.115879240","-0.297936345","-0.412140821"," 0.398430726"," 0.374394358"," 0.137155603","-0.138536605"," 0.478756223","-0.564344703","-0.819696733"," 2.981240431","-1.176710624","-0.821248235","-0.359954842","-0.226708661","-1.122121962","-1.057990266"," 0.116181558"," 0.008525223"," 0.113040348","-0.912287406"," 0.552930307"," 0.926077273","-0.413854492","-0.238223982"," 1.685660500"," 1.587245431"," 0.209569205"," 3.702845397"," 0.707107355","-0.118601414","-0.744695500","-0.512305595","-0.928335311"," 2.023108463"," 0.259366606"," 0.223059682"," 0.120244896"," 0.613554029","-0.032800586","-0.579153024"," 0.900749966"," 1.544515744"," 0.038172916","-0.873393533","-0.838994663"," 0.377487080"," 0.180486359","-1.101068552","-1.159802658","-0.875661248","-0.130404838","-0.913090828"," 0.009689550","-0.930760419","-0.974578035"
"4-{[(3S)-3-(1H-Benzimidazol-2-yl)-1-pyrrolidinyl]methyl}benzoic acid","-0.42148243","-0.17992694","-0.53633144"," 0.08323731","-0.37074051","-0.64809364","-0.23683191","-0.24978782","-0.41983775"," 2.16658253","-0.50463185"," 0.17363483"," 0.62239371","-0.13674732","-0.71864730","-0.51037007","-0.89962178","-0.29036092","-0.67413133"," 0.25406606","-0.90286896","-0.22879907"," 0.47586078"," 0.59357272","-0.62689176","-0.57898801"," 0.03656201"," 0.26075741","-0.19762258","-0.33556339","-0.35080918","-0.44942039"," 0.51979138","-0.09126971"," 0.24350300","-0.44686850","-0.22736311","-0.57254255"," 0.45114370"," 0.10339317"," 0.10332319","-0.69045288","-0.36580127"," 0.44056243","-0.42685819"," 1.03555464","-0.51542314","-0.11940911","-0.13595317","-0.41338636","-0.33772004","-0.09631861"," 4.61146302","-0.12990275","-0.44790096"," 4.50807512","-1.02213073","-0.02294774"," 0.51169485","-0.66441669"
"NQH","-0.54360877","-0.14246127","-0.42409481","-0.12791463"," 0.03463189","-0.13443162","-0.31497442","-0.01513433"," 0.50159180","-0.19635977","-0.13391306","-0.23478501","-0.49313916","-0.34896510","-0.33016452","-0.38468330","-0.02116831"," 4.17071234","-0.78465503","-0.36688108","-0.42110597"," 0.64810752","-0.22543850","-0.03617145"," 1.88618771","-0.68960880","-0.12119691","-0.47570461"," 5.49876165"," 0.11780403"," 0.30126430","-0.27856599"," 0.10190987","-0.35250739","-0.43983163","-0.21538633","-0.38182484","-0.12742180"," 0.29701263","-0.18714288","-0.36218780","-0.69252792"," 0.31002001","-0.27700780","-0.07000248"," 0.31881587","-0.28039860"," 0.01131218","-0.43256022","-0.63007023","-0.25516334"," 0.09875987","-0.43699647"," 0.07644162","-0.33642007"," 0.00609097","-0.63817565"," 0.19766485","-0.84526469","-0.37107252"
