ASV,Health,Disease,Bile,Stone
ASV1796,2.283018868,0.287878788,0.234042553,0.12
ASV1801,1.301886792,1.272727273,0,0
ASV1810,1.150943396,1.212121212,0,0.08
ASV1813,1.622641509,0.46969697,0.085106383,1.2
ASV1814,2.264150943,0.242424242,0.106382979,0.28
ASV1830,2.018867925,0,0.829787234,0
ASV1833,0.603773585,1.333333333,0.276595745,0
ASV1847,1.188679245,0.166666667,0.595744681,2.4
ASV1850,0.641509434,0,0.595744681,2.8
ASV1857,1,0.03030303,1.340425532,0.6
ASV1879,2.264150943,0,0,0.96
ASV1895,2.867924528,0,0,0
ASV1922,2.377358491,0,0,0
ASV1938,2.509433962,0,0,0
ASV1940,2.754716981,0,0,0
ASV1942,1.20754717,0.212121212,0.255319149,1.56
ASV1945,1.283018868,0.984848485,0.021276596,0.04
ASV1951,2,0,0.531914894,0
ASV1961,1.528301887,0.515151515,0.276595745,0
ASV1966,0.660377358,1.106060606,0.255319149,0.08
ASV1969,0.773584906,1.106060606,0.127659574,0
ASV1971,2.377358491,0,0,0
ASV1982,1.811320755,0.545454545,0,0
ASV1989,0.849056604,1.136363636,0.085106383,0
ASV1998,2,0,0.170212766,1.04
